Latitude, Heading, Longitude, Heading, Time, GPS Altitude, GPS Altitude Units, PMS 1.0, PMS 2.5, PMS 10.0, Gas ADC, Gas Oxidizing, Gas Reducing, Gas NH3, Noise Low, Noise Mid, Noise High, Noise Total, Temperature, Humidity, Pressure, Altitude, Lux, Proximity
5046.26892,N,00152.90576,W,185124.00,0.0,M,22,38,41,None,240153.84615384627,553900.99009901,188444.4444444445,0.2396193654540713,0.10334107233908466,0.0911385205096551,0.1446996527676037,14.779182484707508,85.81556108991575,1016.5609931835911,-27.529155748259278,1.16185,1
5046.27046,N,00152.90693,W,185125.00,0.0,M,22,38,41,None,241584.54106280193,553900.99009901,188444.4444444445,0.2653059503712107,0.11520873032450697,0.08266382427070147,0.15439283498880638,14.780783966208606,85.77063867459118,1016.5620066909345,-27.537571402989713,1.16185,0
5046.27198,N,00152.90819,W,185126.00,0.0,M,22,38,41,None,244487.80487804886,553900.99009901,189418.32669322717,0.2987418339880218,0.13346079232792118,0.14438965871044412,0.19219742834212905,14.782065151429947,85.75950115310044,1016.569121497282,-27.596648981736813,1.16185,6
5046.27369,N,00152.90923,W,185127.00,0.0,M,22,39,43,None,243029.12621359227,553900.99009901,188444.4444444445,0.3428112072429437,0.08563512040477884,0.040750406164307494,0.15639891127067668,14.786869596171982,85.88401367306656,1016.5655261773486,-27.56679539354575,1.16185,4
5046.27528,N,00152.91111,W,185128.00,0.0,M,22,39,43,None,244487.80487804886,553900.99009901,189418.32669322717,0.3011172287981534,0.14492407417156303,0.2225646091247442,0.2228686373648202,14.78911167047247,85.91243383086824,1016.5609727673316,-27.52898622184432,0.0,0
5046.27685,N,00152.91310,W,185129.00,0.0,M,22,39,43,None,245960.78431372563,553900.99009901,189418.32669322717,0.7998002941003748,0.533152551877226,0.09263277113672364,0.4751952057047748,14.7932755228926,85.78323452985921,1016.5563082434275,-27.49025427546361,0.88715,0
5046.27838,N,00152.91538,W,185130.00,0.0,M,22,39,43,None,245960.78431372563,553900.99009901,189418.32669322717,0.20620211355050955,0.07044879108987422,0.08344807767637166,0.12003299410558514,14.79551759735225,85.31559103982654,1016.5716625019326,-27.61774805565917,0.88715,0
5046.27992,N,00152.91739,W,185131.00,0.0,M,22,39,43,None,245960.78431372563,553900.99009901,190400.0,1.1550337536563025,0.34419293358302194,0.028694302783799554,0.5093069966743746,14.793916115589672,85.00534643273073,1016.5888978272842,-27.760859379578207,0.88715,2
5046.28144,N,00152.91939,W,185132.00,0.0,M,22,39,43,None,245960.78431372563,553900.99009901,189418.32669322717,0.37746284606022684,0.15323013115870587,0.06168259080142823,0.19745852267345365,14.790713152149783,84.85842216885527,1016.5852118280316,-27.730253320462964,0.88715,9
5046.28298,N,00152.92148,W,185133.00,0.0,M,22,40,44,None,244487.80487804886,553900.99009901,189418.32669322717,0.23804236172885698,0.058841471297931984,0.03597841727590529,0.11095408343423141,14.781744855122906,84.63759746075384,1016.5918122798507,-27.785058970242186,0.88715,5
